transport,country,corridor,bcp_code,bcp_name,direction,tfi1_h,tfi2_usd
road,Afghanistan,P57,P57-1,Aqina,Outbound,,
road,Afghanistan,P01,P01-1,Hairatan,Outbound,5.1,141.0
road,Afghanistan,P02,P02-1,Islam Qala,Outbound,,
road,Afghanistan,P04,P04-1,Shirkhan Bandar,Outbound,14.2,295.0
road,Afghanistan,P35,P35-2,Spin Buldak,Outbound,,
road,Afghanistan,P55,P55-1,Torghondi,Outbound,11.3,272.0
road,Afghanistan,P03,P03-1,Torkham,Outbound,,
road,Azerbaijan,P05,P05-1,Baku,Outbound,0.1,52.0
road,Azerbaijan,P06,P06-1,Beyuk Kesik ,Outbound,,
road,Azerbaijan,P07,P07-1,Krasnyi Most,Outbound,16.5,40.0
road,Georgia,P64,P64-1,Batumi,Outbound,,
road,Georgia,P06,P06-2,Gabdabani,Outbound,,
road,Georgia,P63,P63-1,Poti,Outbound,,
road,Georgia,P07,P07-2,Tsiteli Khidi,Outbound,54.9,160.0
road,Kazakhstan,P40,P40-1,Aisha Bibi,Outbound,,
road,Kazakhstan,P05,P05-2,Aktau,Outbound,,
road,Kazakhstan,P53,P53-2,Altynkol,Outbound,,
road,Kazakhstan,P17,P17-1,Aul,Outbound,,
road,Kazakhstan,P21,P21-1,Beyneu,Outbound,,
road,Kazakhstan,P58,P58-1,Bolashak,Outbound,,
road,Kazakhstan,P08,P08-2,Dostyk,Outbound,,
road,Kazakhstan,P25,P25-1,Ganyushking,Outbound,,
road,Kazakhstan,P43,P43-1,Jana Jol,Outbound,,
road,Kazakhstan,P18,P18-1,Kairak,Outbound,2.5,16.0
road,Kazakhstan,P52,P52-2,Karasu,Outbound,1.9,15.0
road,Kazakhstan,P11,P11-2,Khorgos,Outbound,,
road,Kazakhstan,P37,P37-1,Konysbayeva,Outbound,5.2,40.0
road,Kazakhstan,P34,P34-2,Kordai,Outbound,,
road,Kazakhstan,P26,P26-1,Kurmangazy,Outbound,2.8,14.0
road,Kazakhstan,P61,P61-2,Kuryk,Outbound,0.7,86.0
road,Kazakhstan,P15,P15-2,Merke,Outbound,2.9,16.0
road,Kazakhstan,P44,P44-1,Pogodaevo,Outbound,,
