Country,ISO3,Year,Real_GDP_Growth_Pct
Armenia,ARM,2021,5.8
Armenia,ARM,2022,12.6
Armenia,ARM,2023,8.3
Armenia,ARM,2024,5.9
Armenia,ARM,2025,4.8
Armenia,ARM,2026,4.9
Armenia,ARM,2027,5.5
Mongolia,MNG,2021,1.6
Mongolia,MNG,2022,5.0
Mongolia,MNG,2023,7.4
Mongolia,MNG,2024,5.1
Mongolia,MNG,2025,5.5
Mongolia,MNG,2026,5.5
Mongolia,MNG,2027,5.5
Türkiye,TUR,2021,11.8
Türkiye,TUR,2022,5.4
Türkiye,TUR,2023,5.0
Türkiye,TUR,2024,3.3
Türkiye,TUR,2025,3.5
Türkiye,TUR,2026,3.7
Türkiye,TUR,2027,3.7
Uzbekistan,UZB,2021,8.0
Uzbekistan,UZB,2022,6.0
Uzbekistan,UZB,2023,6.3
Uzbekistan,UZB,2024,6.5
Uzbekistan,UZB,2025,6.8
Uzbekistan,UZB,2026,6.0
Uzbekistan,UZB,2027,5.7
Vietnam,VNM,2021,2.6
Vietnam,VNM,2022,8.5
Vietnam,VNM,2023,5.1
Vietnam,VNM,2024,7.1
Vietnam,VNM,2025,6.5
Vietnam,VNM,2026,5.6
Vietnam,VNM,2027,5.8
